filename,idx,eng,CP1,CP2,H_donor,H_accep,HB,ionCRD,cc,co,numHB,numSHB,numCRD,C_O,pt_len,dih_gs1,dih_gs2,cp1p,cp1t,cp2p,cp2t,freq,unphy,HB_info,bond_brk,bond_uexp,CP1_f,CP2_f,H_donor_f,H_accep_f,HB_f,ionCRD_f,numHB_f,numCRD_f,C_O_f,pt_len_f,dih_gs1_f,dih_gs2_f,cp1p_f,cp1t_f,cp2p_f,cp2t_f,HB_info_f,E
aMal124_TSdh_nn_116_1,6352,-1459.8588,5S1,OS2,3,6,"[1_50,2_1,3_6,9_50,10_7,13_7]","[2,3]",-1,6,6,2,2,2.221,"[1.518, 1.069]",79.2,15.0,83.4,88.7,329.2,89.1,0,0,"[[7.67,3.64,146.4],[8.67,6.29,107.3],[6.4,1.07,164.7],[6.7,4.27,112.1],[8.76,5.79,116.0],[7.57,5.57,103.6]]","[[[3, 3],'H_O',1.518,'OH'],[[6, 6],'C_O',2.221,'CO']]",[],5S1,B25,3,6,"[1_50,2_1,3_6,13_7]","[2,3]",4,2,2.231,"[1.523, 1.066]",95.0,54.7,84.6,88.6,314.9,92.6,"[[7.48,3.48,147.4],[8.67,6.31,107.0],[6.44,1.07,165.8],[7.65,5.66,103.4]]",439.5
aMal41_TSdh_nn_188_0,4172,-1459.8879,25B,3OB,1,2,"[6_0,9_11,10_7]","[1,9,0,50]",-1,2,3,0,4,2.265,"[1.838, 0.955]",89.1,60.0,108.5,97.3,13.9,90.8,0,0,"[[7.99,5.67,107.7],[8.2,4.9,123.6],[7.85,4.74,121.5]]","[[[1, 1],'H_O',1.838,'OH'],[[2, 2],'C_O',2.265,'CO']]",[],5S1,OS2,1,2,"[9_11,10_7,11_13]","[1,9,0,50]",3,4,2.247,"[1.748, 0.966]",92.3,68.2,104.5,99.4,334.6,92.3,"[[7.66,3.71,143.4],[8.19,5.27,116.8],[8.48,5.17,122.7]]",363.1
aMal29_TSdh_nn_120_2,5275,-1459.8765,OS2,OS2,1,2,"[2_50,6_0,9_11,13_7]","[1,0]",-1,2,4,2,2,1.953,"[2.982, 0.932]",93.0,165.0,342.0,91.2,332.9,91.5,0,0,"[[6.99,3.35,138.7],[8.01,6.07,102.3],[8.41,4.22,145.1],[7.73,5.43,107.9]]","[[[1, 1],'H_O',2.982,'OH'],[[2, 2],'C_O',1.953,'CO']]",[],5H4,OS2,1,2,"[2_50,6_3,9_11]","[1,0]",3,2,1.963,"[2.974, 0.933]",127.3,184.3,75.1,153.7,331.9,91.0,"[[7.0,3.45,135.7],[8.85,5.23,127.7],[8.34,4.19,144.2]]",393.0
aMal296_TSdh_nn_025_1,530,-1459.9254,3E,2SO,2,1,"[2_1,11_10]","[1,2,9,50]",-1,1,2,1,4,2.296,"[1.327, 1.192]",151.5,30.0,11.7,115.1,160.4,81.5,0,0,"[[5.5,1.19,151.4],[8.47,6.38,103.8]]","[[[1, 1],'C_O',2.296,'CO'],[[2, 2],'H_O',1.327,'OH']]",[],3E,B3O,2,1,"[2_1,6_13,6_7,9_10,10_11]","[1,2,9,50]",5,4,2.299,"[1.342, 1.176]",137.4,55.6,2.8,117.6,190.1,87.3,"[[5.52,1.18,150.8],[8.22,3.64,170.6],[8.45,6.3,104.4],[7.6,5.14,110.2],[7.82,5.93,101.7]]",264.7
aMal193_TSdh_nn_184_1,4159,-1459.8881,3S1,4C1,1,2,"[1_2,3_0,6_0,9_10,10_11]","[1,2,50]",-1,2,5,1,3,2.164,"[1.388, 1.126]",87.0,30.0,16.2,77.1,264.0,4.3,0,0,"[[5.53,1.13,147.3],[6.62,3.6,123.9],[7.9,6.11,100.4],[8.12,5.99,104.8],[8.33,5.97,107.6]]","[[[1, 1],'H_O',1.388,'OH'],[[2, 2],'C_O',2.164,'CO']]",[],3S1,4C1,1,2,"[1_2,3_0,6_0,9_10,10_11]","[1,9,50]",5,3,2.182,"[1.525, 1.029]",50.0,45.8,24.7,77.9,190.4,9.1,"[[6.0,1.03,148.7],[6.56,3.49,125.4],[7.78,5.84,102.6],[7.59,5.47,105.2],[8.36,6.08,106.4]]",362.6
aMal231_TSdh_nn_008_1,1132,-1459.9135,4H5,1C4,2,1,"[3_50,9_11]","[2,3]",-1,1,2,1,2,2.588,"[2.248, 0.934]",159.4,210.0,257.2,44.0,249.2,168.1,0,0,"[[7.95,5.72,106.3],[8.06,4.19,137.9]]","[[[1, 1],'C_O',2.588,'CO'],[[2, 2],'H_O',2.248,'OH']]",[],4H5,1C4,2,1,"[3_7,3_50,9_11,10_13]","[2,3]",4,2,2.701,"[2.158, 0.937]",111.8,308.3,256.1,43.1,286.3,166.8,"[[7.81,3.5,157.6],[8.71,6.44,105.5],[7.79,3.85,142.1],[7.53,3.3,159.5]]",295.9
aMal186_TSdh_nn_167_0,2819,-1459.8989,E4,OS2,2,1,"[3_6,9_50,10_7,11_9,13_11]",[2],-1,1,5,2,1,2.583,"[1.714, 0.964]",72.3,60.0,76.0,117.7,334.2,91.0,0,0,"[[7.56,3.63,144.6],[6.68,4.34,110.7],[8.18,5.11,119.5],[8.28,4.7,129.2],[9.13,4.97,138.7]]","[[[1, 1],'C_O',2.583,'CO'],[[2, 2],'H_O',1.714,'OH']]",[],5S1,OS2,2,1,"[1_9,3_6,9_50,10_7,11_9,13_11]",[2],6,1,2.272,"[1.824, 0.961]",87.6,73.4,87.1,106.9,334.0,91.1,"[[10.01,5.5,142.3],[7.77,3.83,142.8],[6.5,3.84,117.0],[8.29,5.39,116.1],[8.77,5.12,128.5],[9.59,5.86,126.8]]",334.2
aMal252_TSdh_nn_250_2,5195,-1459.8775,OS2,5S1,1,2,"[2_11,2_50,3_9,6_0,10_13]",[1],-1,2,5,2,1,1.9609999999999999,"[2.937, 0.931]",93.0,165.0,340.3,90.0,78.8,79.8,0,0,"[[5.77,3.63,108.5],[6.98,3.26,141.3],[7.96,5.56,109.0],[7.83,6.04,100.5],[8.04,4.0,143.2]]","[[[1, 1],'H_O',2.937,'OH'],[[2, 2],'C_O',1.961,'CO']]",[],OS2,5S1,1,2,"[2_11,2_50,3_9,6_0,10_13]","[1,0]",5,2,1.983,"[3.014, 0.926]",100.8,153.7,328.9,86.6,78.2,78.2,"[[7.7,3.46,153.3],[8.58,5.38,119.3],[8.96,5.21,129.6],[7.95,5.88,104.1],[8.2,4.17,141.4]]",390.4
aMal107_TSdh_nn_064_1,6179,-1459.8634,5S1,3S1,3,6,"[1_50,2_1,3_6,9_50,10_13,11_50]","[2,3]",-1,6,6,4,2,2.206,"[1.495, 1.082]",163.5,150.0,83.9,89.5,29.9,85.8,0,0,"[[7.55,3.58,145.7],[8.61,6.22,107.6],[6.32,1.08,164.9],[7.01,4.61,110.9],[7.75,3.48,157.8],[8.1,4.09,142.2]]","[[[3, 3],'H_O',1.495,'OH'],[[6, 6],'C_O',2.206,'CO']]",[],5S1,3S1,3,6,"[1_11,1_50,2_1,3_6,10_13]","[2,3]",5,2,2.2,"[1.454, 1.11]",125.6,148.5,84.7,90.7,30.0,84.5,"[[8.31,4.24,141.0],[7.88,4.21,132.8],[8.32,5.82,109.6],[6.22,1.11,167.8],[7.75,3.48,157.4]]",427.4
aMal474_TSdh_nn_050_0,3391,-1459.8937,4C1,OS2,3,2,"[2_1,9_50,10_7,11_9]","[3,9,50]",3,2,4,0,3,2.077,"[3.074, 0.932]",277.2,60.0,189.2,13.7,340.9,95.6,0,0,"[[8.05,5.93,104.6],[6.53,4.04,113.6],[7.91,5.25,112.9],[7.65,3.99,134.9]]","[[[3, 4],'C_C',1.808,'bb'],[[2, 2],'C_O',2.077,'CO'],[[3, 3],'H_O',3.074,'OH']]",[],4C1,3OB,3,2,"[2_1,6_0,10_13]","[3,9,11,50]",3,4,2.064,"[2.75, 0.936]",268.0,59.1,188.3,16.0,1.1,98.3,"[[8.39,6.23,104.8],[7.92,6.13,100.4],[7.85,3.51,159.7]]",347.9
aMal195_TSdh_nn_131_1,1023,-1459.9145,25B,5S1,1,2,"[11_50,13_10]","[1,11,0,50]",-1,2,2,2,4,2.244,"[1.791, 0.962]",89.9,105.0,113.5,98.7,89.8,87.5,0,0,"[[7.73,3.73,145.2],[8.7,4.34,148.4]]","[[[1, 1],'H_O',1.791,'OH'],[[2, 2],'C_O',2.244,'CO']]",[],25B,3S1,1,2,"[1_2,6_3]","[1,9,11,0,50]",2,5,2.115,"[1.398, 1.12]",94.7,71.6,106.9,101.2,23.3,89.4,"[[5.67,1.12,151.3],[6.72,4.33,111.1]]",293.3
aMal128_TSdh_nn_047_1,6291,-1459.8608,1C4,OS2,-1,-1,"[1_2,2_50,3_6,9_11,10_7]","[3,6]",-1,6,5,3,2,2.2969999999999997,"[0, 0]",163.1,195.0,56.6,173.5,339.0,90.9,0,0,"[[7.16,4.51,114.5],[7.56,3.85,137.2],[5.8,1.97,155.7],[8.05,3.93,146.3],[7.78,4.61,122.8]]","[[[6, 6],'C_O',2.297,'CO']]",[],1C4,OS2,-1,-1,"[1_2,2_50,3_6,9_11,10_7]","[3,6]",5,2,2.295,"[0, 0]",210.7,190.3,41.5,173.6,341.9,91.0,"[[7.13,4.45,115.1],[7.65,3.88,138.1],[5.89,2.06,154.8],[8.05,3.97,144.5],[7.72,4.68,120.4]]",434.3
aMal454_TSdh_nn_064_0,6466,-1459.8511,5S1,3S1,3,6,"[1_50,2_1,3_6,9_11,10_7,11_50]","[2,3]",-1,6,6,2,2,2.206,"[1.495, 1.082]",163.5,120.0,83.9,89.5,20.2,92.0,0,0,"[[7.55,3.58,145.7],[8.61,6.22,107.6],[6.32,1.08,164.9],[8.29,4.66,130.2],[8.01,4.95,119.7],[8.07,4.35,133.9]]","[[[3, 3],'H_O',1.495,'OH'],[[6, 6],'C_O',2.206,'CO']]",[],5S1,3S1,3,6,"[1_50,2_1,3_6,9_11,10_7,11_50]","[2,3]",6,2,2.215,"[1.505, 1.072]",175.8,161.6,86.8,90.7,19.0,94.1,"[[7.76,3.75,144.7],[8.37,5.9,109.1],[6.36,1.07,166.0],[7.99,4.39,131.2],[7.95,4.9,119.9],[8.53,4.76,132.5]]",459.7
aMal130_TSdh_nn_084_2,2853,-1459.8984,5S1,OS2,1,2,"[2_3,3_6,9_1,9_50,11_9,13_7]","[1,9,0,50]",-1,0,6,1,4,2.085,"[3.692, 0.937]",74.9,120.0,86.4,79.5,330.8,92.7,0,0,"[[6.62,3.71,120.8],[7.48,3.64,141.5],[7.55,4.39,123.5],[6.69,4.27,112.1],[8.35,4.75,129.4],[7.81,5.63,105.9]]","[[[0, 1],'C_O',2.085,'bb'],[[1, 1],'H_O',3.692,'OH'],[[2, 2],'C_O',1.743,'CO']]",[],5S1,OS2,1,2,"[2_3,3_6,11_9]","[1,9,0,50]",3,4,1.9869999999999999,"[3.744, 0.937]",134.4,54.3,89.7,78.8,325.3,92.0,"[[6.65,3.75,120.7],[7.91,4.06,137.9],[9.85,6.42,120.8]]",335.5
aMal4_TSdh_nn_161_0,74,-1459.9388,3E,3S1,2,1,"[2_1,3_6,13_7]","[1,2,9,50]",-1,1,3,2,4,2.383,"[1.275, 1.264]",96.8,60.0,352.5,109.1,27.0,87.5,0,0,"[[5.46,1.26,153.5],[7.98,3.87,146.5],[7.42,5.1,108.8]]","[[[1, 1],'C_O',2.383,'CO'],[[2, 2],'H_O',1.275,'OH']]",[],3E,3S1,2,1,"[2_1,3_6,11_1]","[2,9,11,50]",3,4,2.4130000000000003,"[1.331, 1.192]",158.2,77.5,1.9,114.4,27.2,90.1,"[[5.72,1.19,161.9],[7.45,3.39,151.3],[7.37,3.18,157.6]]",229.5
aMal447_TSdh_nn_050_0,2886,-1459.8981,4C1,4C1,3,2,"[2_1,9_50,10_11]","[3,50]",3,2,3,0,2,2.077,"[3.074, 0.932]",277.2,60.0,189.2,13.7,284.5,2.6,0,0,"[[8.05,5.93,104.6],[7.38,5.17,107.0],[8.1,5.68,109.0]]","[[[3, 4],'C_C',1.808,'bb'],[[2, 2],'C_O',2.077,'CO'],[[3, 3],'H_O',3.074,'OH']]",[],4C1,4C1,3,2,"[9_10,10_11,13_6]","[3,9,50]",3,3,2.0580000000000003,"[2.709, 0.937]",184.9,71.4,163.5,16.0,249.4,5.3,"[[7.67,5.86,100.9],[8.28,5.98,107.0],[8.29,3.97,151.5]]",336.3
aMal434_TSdh_nn_094_1,4266,-1459.8870000000006,E1,1C4,1,2,[9_11],"[1,50]",-1,2,1,1,2,1.9380000000000002,"[2.459, 0.941]",103.5,315.0,51.0,61.3,256.4,173.9,0,0,"[[7.95,4.18,135.7]]","[[[1, 1],'H_O',2.459,'OH'],[[2, 2],'C_O',1.938,'CO']]",[],E1,1C4,1,2,"[3_7,9_11,10_13]","[1,50]",3,2,2.011,"[2.278, 0.944]",92.7,317.2,50.7,56.1,353.4,174.1,"[[8.71,4.89,132.5],[7.51,3.7,140.3],[8.32,4.9,125.7]]",365.5
